Date,Open,High,Low,Close,Volume,onchain_id,onchain_symbol,onchain_zero_balance_addresses_all_time,onchain_unique_addresses_all_time,onchain_new_addresses,onchain_active_addresses,onchain_transaction_count,onchain_transaction_count_all_time,onchain_large_transaction_count,onchain_average_transaction_value,onchain_block_height,onchain_hashrate,onchain_difficulty,onchain_block_time,onchain_block_size,onchain_current_supply,sp500,vix,dxy,brentoil,dowjones,RSI_10,RSI_14,ROC_12,STD_DEV_20,CCI_20,H_L,H_CP,MACD_Line_6_20,MACD_Signal_6_20,ATR_14,OBV,EMA_5,SMA_5,BB_Mid_20,BB_Upper_20,BB_Lower_20,STOCH_K,STOCH_D,EMA_12,EMA_26,MACD_Histogram,Target_Return_1d,Log_return,SMA_14
2023-07-25,29181.04,29367.59,29054.49,29226.63,354541899.17,1182.0,BTC,1134499776.0,1181916978.0,515397.0,941826.0,462586.0,247948016.0,15442.0,1.49573276790569,800267.0,376650732.183283,53911173001054.6,614.751824817519,1683894.0,19439175.0,4567.46,13.86,117.8565,83.46,35438.07,24.041153618863916,34.695381251708085,-7.145652943310692,487.4657363231151,-192.78993169816522,313.09999999999854,186.54999999999927,-298.52395112261365,-52.87300388410372,718.0264285714285,-61350136531.410034,29546.11440180132,29639.284000000003,30122.2995,31097.23097264623,29147.368027353772,15.57249620268862,15.89692057512879,29832.907681351826,29839.79022288157,-245.65094723850993,0.004291634033756209,0.0015610966593482508,30048.200714285715
2023-07-26,29226.63,29682.98,29098.81,29352.06,486510821.91,1182.0,BTC,1135026709.0,1182430727.0,513749.0,1017946.0,452746.0,248400762.0,16850.0,1.54834223166429,800411.0,387857861.21665,53251647610383.4,589.685314685315,1682859.0,19440075.0,4566.75,13.19,117.76,82.98,35520.12,29.059034123041087,38.411720632242925,-3.227810144640363,515.3801726396632,-138.2475060595431,584.1699999999983,456.34999999999854,-317.97578354119105,-105.89355981552119,705.225714285714,-60863625709.50003,29481.42960120088,29527.404000000002,30094.503500000003,31125.26384527933,29063.743154720676,13.146894548704289,14.623090109245135,29758.931114990006,29803.662058223676,-212.08222372566985,-0.004599677160649129,0.004282451235847058,29974.403571428575
2023-07-27,29352.06,29566.99,29082.04,29217.05,373268935.18,1182.0,BTC,1135461506.0,1182910327.0,479600.0,943039.0,413038.0,248813800.0,14287.0,1.79069118647769,800549.0,362796386.10263,52328312063443.8,619.48905109489,1653487.0,19440937.0,4537.41,14.41,117.8938,84.28,35282.72,28.59764595493361,17.752974533368672,-3.569159478455173,547.1158133459923,-134.0379661232943,484.9500000000007,214.9300000000003,-347.6104838514002,-154.236944622697,626.5899999999999,-61236894644.68003,29393.303067467255,29412.492,30037.8715,31132.103126691985,28943.639873308017,13.847460432365517,14.188950394586131,29675.564789606928,29760.20931317007,-193.3735392287032,0.0034147869138054787,-0.004610288226461106,29813.065714285716
2023-07-28,29217.05,29528.45,29121.24,29316.82,342975082.63,1182.0,BTC,1135909456.0,1183399071.0,488744.0,944840.0,449225.0,249263025.0,13604.0,1.75105998219091,800689.0,378387205.417387,52328312063443.8,593.964028776978,1629710.0,19441812.0,4582.23,13.33,117.788,84.49,35459.29,36.25710423565704,29.362188734835996,-3.0790292437525926,566.3237052526947,-112.70666420716715,407.2099999999991,311.40000000000146,-338.2995627225828,-191.04946824267415,533.7135714285713,-60893919562.05003,29367.808711644837,29258.72,29988.9945,31121.64191050539,28856.34708949461,19.321367531343284,15.438574170804353,29620.373283513556,29727.365660342657,-147.25009447990863,0.001430578077704192,0.003408969768085898,29740.617857142857
2023-07-29,29316.82,29406.57,29258.14,29358.76,146316009.97,1182.0,BTC,1136326394.0,1183888857.0,489786.0,883630.0,423119.0,249686144.0,10771.0,1.26835039622494,800821.0,358480932.116473,52328312063443.8,626.946564885496,1616703.0,19442637.0,4582.23,13.33,117.788,84.49,35459.29,35.842176072508735,30.951792135765174,-2.6168514459487495,581.4950177782074,-97.94881452136408,148.4300000000003,89.75,-315.0882990618484,-215.857234406509,534.015,-60747603552.08003,29364.79247442989,29294.264000000003,29948.357999999997,31111.34803555641,28785.367964443583,24.273535366071002,19.147454443259925,29580.12508604993,29700.06153735431,-99.23106465533937,-0.002568909586099677,0.0014295557757583455,29673.49714285714
2023-07-30,29358.76,29449.84,29043.43,29283.34,224246250.77,1182.0,BTC,1136899145.0,1184496893.0,608036.0,1013491.0,645854.0,250331998.0,11658.0,0.968990019781839,800989.0,439630109.372308,52328312063443.8,511.221556886228,1721756.0,19443681.0,4582.23,13.33,117.788,84.49,35459.29,36.46125428978628,30.639510384268036,-1.9436581893992715,588.4276667534228,-100.07745194909344,406.40999999999985,91.08000000000175,-305.8797055651339,-233.861728638234,536.8485714285713,-60971849802.85003,29337.641649619927,29305.606,29891.473000000005,31068.32833350685,28714.61766649316,29.04049601310972,24.211799636841324,29534.46584204225,29669.193275328067,-72.0179769268999,-0.0017713143377769969,-0.0025722148962392037,29604.580714285716
2023-07-31,29283.34,29524.99,29108.82,29231.47,426457343.16,1182.0,BTC,1137326097.0,1184951097.0,454204.0,916255.0,445666.0,250777664.0,14707.0,1.79055203928013,801130.0,379945111.399429,52328312063443.8,591.528571428571,1678803.0,19444568.0,4588.96,13.63,117.8241,85.22,35559.53,32.04495165268091,31.249258123800146,-2.2966649509001003,579.3161092044404,-85.71466421690495,416.1700000000019,241.65000000000146,-301.48531641922455,-247.38644619443212,519.0828571428572,-61398307146.01003,29302.25109974662,29281.488,29821.715500000002,30980.347718408884,28663.08328159112,27.414346394188197,26.90945925778963,29487.851097112674,29636.76932900747,-54.09887022479242,0.01601937911435858,-0.0017728849700149058,29539.13714285714
2023-08-01,29231.47,29721.48,28564.09,29699.74,822433494.24,1182.0,BTC,1137779382.0,1185432340.0,481243.0,988380.0,412219.0,251189883.0,17964.0,1.83783423297956,801269.0,361479209.770254,52328312063443.8,621.746376811594,1650291.0,19445437.0,4576.73,13.93,118.5738,85.34,35630.68,47.95116881726667,46.878223108570474,-0.3685724167474817,564.3059310642561,-71.42718262598805,1157.3899999999994,490.0099999999984,-201.24743727270834,-238.1586444100874,551.3271428571427,-60575873651.770035,29434.74739983108,29378.026,29787.441499999997,30916.05336212851,28658.829637871484,37.39613799075781,31.28366013268523,29520.44938986457,29641.433823155065,36.91120713737905,-0.018048979553356492,0.015892422905840326,29527.419285714288
2023-08-02,29699.74,30029.06,28914.46,29163.69,838251477.68,1182.0,BTC,1138337820.0,1185889246.0,456906.0,1076907.0,390768.0,251580651.0,17579.0,1.76362505011613,801423.0,404333041.472258,52328312063443.8,555.849673202614,1570630.0,19446412.0,4513.39,16.09,119.1268,84.01,35282.52,31.441350408012894,37.858303176517886,-2.4999448371961797,418.1207032737527,-57.59782507390956,1114.6000000000022,329.3199999999997,-233.09649667399935,-237.1462148628698,600.3157142857144,-61414125129.450035,29344.394933220723,29347.4,29671.837000000007,30508.078406547513,28835.5955934525,39.134273942548816,34.6482527758316,29465.563329885405,29606.045391810247,4.049718188870457,0.0004821063452533636,-0.018213849217164204,29473.497142857144
2023-08-03,29163.69,29397.03,28945.61,29177.75,450334651.17,1182.0,BTC,1138834009.0,1186360234.0,470988.0,1035109.0,476007.0,252056658.0,16556.0,1.45089358666539,801574.0,393678426.152066,52328312063443.8,570.893333333333,1690188.0,19448100.0,4501.89,15.92,119.3963,86.19,35215.89,49.896762289680595,39.51729034912503,-2.060513010206567,401.6198330312278,-85.16659665466891,451.41999999999825,233.34000000000015,-244.65836508506618,-238.6486449073091,572.5585714285714,-60963790478.28004,29288.84662214715,29311.197999999997,29614.170000000002,30417.409666062456,28810.930333937547,42.68159425423144,39.73733539584601,29421.28435605688,29574.31980723171,-6.009720177757089,-0.003401221821422218,0.0004819901693272312,29428.364285714288
